"Rotterdam,""S109"",""TrafficLight"",2,nil"
"Rotterdam,""S114"",""TrafficLight"",2,nil"
"Rotterdam,""S114"",""HardShoulder"",2,nil"
"Rotterdam,""S102"",nil,2,nil"
"Rotterdam,""S105"",nil,2,nil"
"RWS,""A201"",""Diversion"",3,nil"
"RWS,""A202"",nil,1,nil"
"RWS,""A203"",nil,1,nil"
"RWS,""A204"",nil,3,nil"
"RWS,""A41"",""Diversion"",3,nil"
"RWS,""A42"",""Diversion"",1,nil"
"RWS,""A43"",""Bridge"",1,nil"
"RWS,""A44"",nil,3,nil"
"RWS,""A151"",""MaxSpeed"",2,nil"
"RWS,""A152"",""MaxSpeed"",1,nil"
"RWS,""A153"",""MaxSpeed"",1,nil"
"RWS,""A153"",""RampMeter"",3,nil"
"RWS,""A154"",nil,3,nil"
"RWS,""A13"",""HardShoulder"",3,nil"
"RWS,""A29"",nil,2,nil"
"RWS,""A161"",nil,2,nil"
"RWS,""A162"",nil,2,nil "
"RWS,""A163"",nil,2,nil"
